Branch_A,Branch_B,Relationship
feat/TC-600-failure-recovery,feat/TC-590-security-handling,B_ancestor_of_A
feat/TC-600-failure-recovery,feat/TC-580-observability,B_ancestor_of_A
feat/TC-600-failure-recovery,feat/TC-560-determinism-harness,B_ancestor_of_A
feat/TC-600-failure-recovery,feat/TC-550-hugo-config,B_ancestor_of_A
feat/TC-600-failure-recovery,feat/TC-540-content-path-resolver,B_ancestor_of_A
feat/TC-600-failure-recovery,feat/TC-530-cli-entrypoints,B_ancestor_of_A
feat/TC-600-failure-recovery,feat/TC-520-telemetry-api-setup,B_ancestor_of_A
feat/TC-600-failure-recovery,feat/TC-512-mcp-tool-handlers,B_ancestor_of_A
feat/TC-600-failure-recovery,fix/env-gates-20260128-1615,A_ancestor_of_B
feat/TC-600-failure-recovery,fix/main-green-20260128-1505,A_ancestor_of_B
feat/TC-600-failure-recovery,integrate/main-e2e-20260128-0837,A_ancestor_of_B
feat/TC-600-failure-recovery,impl/tc300-wire-orchestrator-20260128,neither
feat/TC-590-security-handling,feat/TC-580-observability,B_ancestor_of_A
feat/TC-590-security-handling,feat/TC-560-determinism-harness,B_ancestor_of_A
feat/TC-590-security-handling,feat/TC-550-hugo-config,B_ancestor_of_A
feat/TC-590-security-handling,feat/TC-540-content-path-resolver,B_ancestor_of_A
feat/TC-590-security-handling,feat/TC-530-cli-entrypoints,B_ancestor_of_A
feat/TC-590-security-handling,feat/TC-520-telemetry-api-setup,B_ancestor_of_A
feat/TC-590-security-handling,feat/TC-512-mcp-tool-handlers,B_ancestor_of_A
feat/TC-590-security-handling,fix/env-gates-20260128-1615,A_ancestor_of_B
feat/TC-590-security-handling,fix/main-green-20260128-1505,A_ancestor_of_B
feat/TC-590-security-handling,integrate/main-e2e-20260128-0837,A_ancestor_of_B
feat/TC-590-security-handling,impl/tc300-wire-orchestrator-20260128,neither
feat/TC-580-observability,feat/TC-560-determinism-harness,B_ancestor_of_A
feat/TC-580-observability,feat/TC-550-hugo-config,B_ancestor_of_A
feat/TC-580-observability,feat/TC-540-content-path-resolver,B_ancestor_of_A
feat/TC-580-observability,feat/TC-530-cli-entrypoints,B_ancestor_of_A
feat/TC-580-observability,feat/TC-520-telemetry-api-setup,B_ancestor_of_A
feat/TC-580-observability,feat/TC-512-mcp-tool-handlers,B_ancestor_of_A
feat/TC-580-observability,fix/env-gates-20260128-1615,A_ancestor_of_B
feat/TC-580-observability,fix/main-green-20260128-1505,A_ancestor_of_B
feat/TC-580-observability,integrate/main-e2e-20260128-0837,A_ancestor_of_B
feat/TC-580-observability,impl/tc300-wire-orchestrator-20260128,neither
feat/TC-560-determinism-harness,feat/TC-550-hugo-config,B_ancestor_of_A
feat/TC-560-determinism-harness,feat/TC-540-content-path-resolver,B_ancestor_of_A
feat/TC-560-determinism-harness,feat/TC-530-cli-entrypoints,B_ancestor_of_A
feat/TC-560-determinism-harness,feat/TC-520-telemetry-api-setup,B_ancestor_of_A
feat/TC-560-determinism-harness,feat/TC-512-mcp-tool-handlers,B_ancestor_of_A
feat/TC-560-determinism-harness,fix/env-gates-20260128-1615,A_ancestor_of_B
feat/TC-560-determinism-harness,fix/main-green-20260128-1505,A_ancestor_of_B
feat/TC-560-determinism-harness,integrate/main-e2e-20260128-0837,A_ancestor_of_B
feat/TC-560-determinism-harness,impl/tc300-wire-orchestrator-20260128,neither
feat/TC-550-hugo-config,feat/TC-540-content-path-resolver,B_ancestor_of_A
feat/TC-550-hugo-config,feat/TC-530-cli-entrypoints,B_ancestor_of_A
feat/TC-550-hugo-config,feat/TC-520-telemetry-api-setup,B_ancestor_of_A
feat/TC-550-hugo-config,feat/TC-512-mcp-tool-handlers,B_ancestor_of_A
feat/TC-550-hugo-config,fix/env-gates-20260128-1615,A_ancestor_of_B
feat/TC-550-hugo-config,fix/main-green-20260128-1505,A_ancestor_of_B
feat/TC-550-hugo-config,integrate/main-e2e-20260128-0837,A_ancestor_of_B
feat/TC-550-hugo-config,impl/tc300-wire-orchestrator-20260128,neither
feat/TC-540-content-path-resolver,feat/TC-530-cli-entrypoints,B_ancestor_of_A
feat/TC-540-content-path-resolver,feat/TC-520-telemetry-api-setup,B_ancestor_of_A
feat/TC-540-content-path-resolver,feat/TC-512-mcp-tool-handlers,B_ancestor_of_A
feat/TC-540-content-path-resolver,fix/env-gates-20260128-1615,A_ancestor_of_B
feat/TC-540-content-path-resolver,fix/main-green-20260128-1505,A_ancestor_of_B
feat/TC-540-content-path-resolver,integrate/main-e2e-20260128-0837,A_ancestor_of_B
feat/TC-540-content-path-resolver,impl/tc300-wire-orchestrator-20260128,neither
feat/TC-530-cli-entrypoints,feat/TC-520-telemetry-api-setup,A_ancestor_of_B
feat/TC-530-cli-entrypoints,feat/TC-512-mcp-tool-handlers,B_ancestor_of_A
feat/TC-530-cli-entrypoints,fix/env-gates-20260128-1615,A_ancestor_of_B
feat/TC-530-cli-entrypoints,fix/main-green-20260128-1505,A_ancestor_of_B
feat/TC-530-cli-entrypoints,integrate/main-e2e-20260128-0837,A_ancestor_of_B
feat/TC-530-cli-entrypoints,impl/tc300-wire-orchestrator-20260128,neither
feat/TC-520-telemetry-api-setup,feat/TC-512-mcp-tool-handlers,B_ancestor_of_A
