Branch,TipSHA
feat/TC-100-bootstrap-repo,f4b545c
feat/TC-200-schemas-and-io,2f24053
feat/TC-201-emergency-mode,ffbab4f
feat/TC-250-shared-libs-governance,af850f4
feat/TC-300-orchestrator-langgraph,10672ed
feat/TC-400-repo-scout,33673f0
feat/TC-401-clone-resolve-shas,be1f101
feat/TC-402-fingerprint,cd8086b
feat/TC-403-discover-docs,e0a217e
feat/TC-404-discover-examples,9b146f4
feat/TC-410-facts-builder,7962c7b
feat/TC-411-extract-claims,dba509f
feat/TC-412-map-evidence,4428fe0
feat/TC-413-detect-contradictions,cdb94da
feat/TC-420-snippet-curator,b21a289
feat/TC-421-extract-doc-snippets,73d56ea
feat/TC-422-extract-code-snippets,cdf0da9
feat/TC-430-ia-planner,feb34ad
feat/TC-440-section-writer,a039d4a
feat/TC-450-linker-and-patcher,111c41a
feat/TC-460-validator,27a683c
feat/TC-470-fixer,eda48de
feat/TC-480-pr-manager,958da5a
feat/TC-500-clients-services,8d52840
feat/TC-510-mcp-server-setup,2790dfa
feat/TC-511-mcp-tool-registration,2ddaf75
feat/TC-512-mcp-tool-handlers,7a54d2b
feat/TC-520-telemetry-api-setup,4c97438
feat/TC-521-telemetry-run-endpoints,42df129
feat/TC-522-telemetry-batch-upload,3873ff3
feat/TC-523-telemetry-metadata-endpoints,dc2734e
feat/TC-530-cli-entrypoints,8282263
feat/TC-540-content-path-resolver,675b19d
feat/TC-550-hugo-config,a95bf2a
feat/TC-560-determinism-harness,2fcb1d4
feat/TC-570-extended-gates,2901e83
feat/TC-571-perf-security-gates,c8dbee7
feat/TC-580-observability,c4d15a0
feat/TC-590-security-handling,1450676
feat/TC-600-failure-recovery,c6632fa
feat/golden-2pilots-20260130,d582eca
feat/golden-2pilots-20260201,1980304
feat/pilot-e2e-golden-3d-20260129,c666914
feat/pilot1-hardening-vfv-20260130,4bed867
feat/tc902_hygiene_20260201,d1d440f
feat/tc902_w4_impl_20260201,d1d440f
fix/env-gates-20260128-1615,4da6849
fix/main-green-20260128-1505,d17bc7c
fix/pilot1-w4-ia-planner-20260130,c666914
impl/tc300-wire-orchestrator-20260128,f642856
integrate/main-e2e-20260128-0837,4f2773d
main,c78c3ff
