Branch_B,Candidate_C,PlusCount_B_not_in_C
feat/TC-100-bootstrap-repo,impl/tc300-wire-orchestrator-20260128,2
feat/TC-100-bootstrap-repo,integrate/main-e2e-20260128-0837,0
feat/TC-100-bootstrap-repo,fix/main-green-20260128-1505,0
feat/TC-100-bootstrap-repo,fix/env-gates-20260128-1615,0
feat/TC-100-bootstrap-repo,feat/TC-600-failure-recovery,0
feat/TC-100-bootstrap-repo,feat/golden-2pilots-20260201,2
feat/TC-200-schemas-and-io,impl/tc300-wire-orchestrator-20260128,4
feat/TC-200-schemas-and-io,integrate/main-e2e-20260128-0837,0
feat/TC-200-schemas-and-io,fix/main-green-20260128-1505,0
feat/TC-200-schemas-and-io,fix/env-gates-20260128-1615,0
feat/TC-200-schemas-and-io,feat/TC-600-failure-recovery,0
feat/TC-200-schemas-and-io,feat/golden-2pilots-20260201,5
feat/TC-201-emergency-mode,impl/tc300-wire-orchestrator-20260128,6
feat/TC-201-emergency-mode,integrate/main-e2e-20260128-0837,0
feat/TC-201-emergency-mode,fix/main-green-20260128-1505,0
feat/TC-201-emergency-mode,fix/env-gates-20260128-1615,0
feat/TC-201-emergency-mode,feat/TC-600-failure-recovery,0
feat/TC-201-emergency-mode,feat/golden-2pilots-20260201,8
feat/TC-250-shared-libs-governance,impl/tc300-wire-orchestrator-20260128,8
feat/TC-250-shared-libs-governance,integrate/main-e2e-20260128-0837,0
feat/TC-250-shared-libs-governance,fix/main-green-20260128-1505,0
feat/TC-250-shared-libs-governance,fix/env-gates-20260128-1615,0
feat/TC-250-shared-libs-governance,feat/TC-600-failure-recovery,0
feat/TC-250-shared-libs-governance,feat/golden-2pilots-20260201,10
feat/TC-300-orchestrator-langgraph,impl/tc300-wire-orchestrator-20260128,10
feat/TC-300-orchestrator-langgraph,integrate/main-e2e-20260128-0837,0
feat/TC-300-orchestrator-langgraph,fix/main-green-20260128-1505,0
feat/TC-300-orchestrator-langgraph,fix/env-gates-20260128-1615,0
feat/TC-300-orchestrator-langgraph,feat/TC-600-failure-recovery,0
feat/TC-300-orchestrator-langgraph,feat/golden-2pilots-20260201,12
feat/TC-400-repo-scout,impl/tc300-wire-orchestrator-20260128,18
feat/TC-400-repo-scout,integrate/main-e2e-20260128-0837,0
feat/TC-400-repo-scout,fix/main-green-20260128-1505,0
feat/TC-400-repo-scout,fix/env-gates-20260128-1615,0
feat/TC-400-repo-scout,feat/TC-600-failure-recovery,0
feat/TC-400-repo-scout,feat/golden-2pilots-20260201,26
feat/TC-401-clone-resolve-shas,impl/tc300-wire-orchestrator-20260128,16
feat/TC-401-clone-resolve-shas,integrate/main-e2e-20260128-0837,0
feat/TC-401-clone-resolve-shas,fix/main-green-20260128-1505,0
feat/TC-401-clone-resolve-shas,fix/env-gates-20260128-1615,0
feat/TC-401-clone-resolve-shas,feat/TC-600-failure-recovery,0
feat/TC-401-clone-resolve-shas,feat/golden-2pilots-20260201,18
feat/TC-402-fingerprint,impl/tc300-wire-orchestrator-20260128,17
feat/TC-402-fingerprint,integrate/main-e2e-20260128-0837,0
feat/TC-402-fingerprint,fix/main-green-20260128-1505,0
feat/TC-402-fingerprint,fix/env-gates-20260128-1615,0
feat/TC-402-fingerprint,feat/TC-600-failure-recovery,0
feat/TC-402-fingerprint,feat/golden-2pilots-20260201,21
feat/TC-403-discover-docs,impl/tc300-wire-orchestrator-20260128,17
feat/TC-403-discover-docs,integrate/main-e2e-20260128-0837,0
feat/TC-403-discover-docs,fix/main-green-20260128-1505,0
feat/TC-403-discover-docs,fix/env-gates-20260128-1615,0
feat/TC-403-discover-docs,feat/TC-600-failure-recovery,0
feat/TC-403-discover-docs,feat/golden-2pilots-20260201,22
feat/TC-404-discover-examples,impl/tc300-wire-orchestrator-20260128,17
feat/TC-404-discover-examples,integrate/main-e2e-20260128-0837,0
feat/TC-404-discover-examples,fix/main-green-20260128-1505,0
feat/TC-404-discover-examples,fix/env-gates-20260128-1615,0
feat/TC-404-discover-examples,feat/TC-600-failure-recovery,0
feat/TC-404-discover-examples,feat/golden-2pilots-20260201,24
feat/TC-410-facts-builder,impl/tc300-wire-orchestrator-20260128,22
feat/TC-410-facts-builder,integrate/main-e2e-20260128-0837,0
feat/TC-410-facts-builder,fix/main-green-20260128-1505,0
feat/TC-410-facts-builder,fix/env-gates-20260128-1615,0
feat/TC-410-facts-builder,feat/TC-600-failure-recovery,0
feat/TC-410-facts-builder,feat/golden-2pilots-20260201,34
feat/TC-411-extract-claims,impl/tc300-wire-orchestrator-20260128,19
feat/TC-411-extract-claims,integrate/main-e2e-20260128-0837,0
feat/TC-411-extract-claims,fix/main-green-20260128-1505,0
feat/TC-411-extract-claims,fix/env-gates-20260128-1615,0
feat/TC-411-extract-claims,feat/TC-600-failure-recovery,0
feat/TC-411-extract-claims,feat/golden-2pilots-20260201,28
feat/TC-412-map-evidence,impl/tc300-wire-orchestrator-20260128,20
feat/TC-412-map-evidence,integrate/main-e2e-20260128-0837,0
feat/TC-412-map-evidence,fix/main-green-20260128-1505,0
feat/TC-412-map-evidence,fix/env-gates-20260128-1615,0
feat/TC-412-map-evidence,feat/TC-600-failure-recovery,0
feat/TC-412-map-evidence,feat/golden-2pilots-20260201,30
feat/TC-413-detect-contradictions,impl/tc300-wire-orchestrator-20260128,21
feat/TC-413-detect-contradictions,integrate/main-e2e-20260128-0837,0
feat/TC-413-detect-contradictions,fix/main-green-20260128-1505,0
feat/TC-413-detect-contradictions,fix/env-gates-20260128-1615,0
feat/TC-413-detect-contradictions,feat/TC-600-failure-recovery,0
feat/TC-413-detect-contradictions,feat/golden-2pilots-20260201,32
feat/TC-420-snippet-curator,impl/tc300-wire-orchestrator-20260128,24
feat/TC-420-snippet-curator,integrate/main-e2e-20260128-0837,0
feat/TC-420-snippet-curator,fix/main-green-20260128-1505,0
feat/TC-420-snippet-curator,fix/env-gates-20260128-1615,0
feat/TC-420-snippet-curator,feat/TC-600-failure-recovery,0
feat/TC-420-snippet-curator,feat/golden-2pilots-20260201,41
feat/TC-421-extract-doc-snippets,impl/tc300-wire-orchestrator-20260128,23
feat/TC-421-extract-doc-snippets,integrate/main-e2e-20260128-0837,0
feat/TC-421-extract-doc-snippets,fix/main-green-20260128-1505,0
feat/TC-421-extract-doc-snippets,fix/env-gates-20260128-1615,0
feat/TC-421-extract-doc-snippets,feat/TC-600-failure-recovery,0
feat/TC-421-extract-doc-snippets,feat/golden-2pilots-20260201,37
feat/TC-422-extract-code-snippets,impl/tc300-wire-orchestrator-20260128,23
feat/TC-422-extract-code-snippets,integrate/main-e2e-20260128-0837,0
feat/TC-422-extract-code-snippets,fix/main-green-20260128-1505,0
feat/TC-422-extract-code-snippets,fix/env-gates-20260128-1615,0
feat/TC-422-extract-code-snippets,feat/TC-600-failure-recovery,0
